benchmark_id,timestamp,device,runtime_backend,run_name,run_dir,experiment_name,model_label,training_label,model_type,seq_len,num_ports,execution_mode,requested_precision_profile,effective_execution_dtype,batch_size,num_threads,status,skip_reason,graph_prep_time_ms,warmup_iters,measure_iters,mean_latency_ms,std_latency_ms,min_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,throughput_samples_per_sec,samples_per_ms,p50_latency_us,latency_per_sample_us,throughput_per_thread,trainable_parameters,macs_per_sample,flops_per_sample_estimate,thread_group,threads_per_physical_core_ratio,threads_per_logical_cpu_ratio,cpu_model_name,cpu_capability,cpu_flag_summary,mkldnn_available,mkldnn_enabled,onednn_version,onnxruntime_version,onnxruntime_providers,openvino_version,openvino_device,logical_cpu_count,physical_cpu_count,hostname,python_version,pytorch_version
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,1,1,ok,,4.625298,20,50,0.01661058,0.0013185204448926836,0.014556,0.0164935,0.0169306,0.01702555,0.021999569999999993,0.024257,60202.59376854993,60.20259376854993,16.4935,16.4935,60202.59376854993,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,2,1,ok,,4.203535,20,50,0.01847966,0.0052969115892565165,0.016208,0.017493,0.017828,0.021350499999999988,0.04011610999999994,0.054209,108227.09941633126,108.22709941633126,17.493000000000002,8.746500000000001,108227.09941633126,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,4,1,ok,,4.191366,20,50,0.02061134,0.0020753706908405545,0.017991,0.019588500000000002,0.0222714,0.023953049999999993,0.028061089999999993,0.029168,194067.9257146794,194.0679257146794,19.588500000000003,4.897125000000001,194067.9257146794,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,8,1,ok,,4.177096,20,50,0.02376234,0.0007725247856217947,0.022313,0.023648000000000002,0.0239554,0.02428325,0.027128939999999997,0.028106,336667.1800841163,336.6671800841163,23.648000000000003,2.9560000000000004,336667.1800841163,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,16,1,ok,,4.221525,20,50,0.03307538,0.0020482130933084084,0.030436,0.034058,0.034640899999999995,0.0350328,0.038821619999999994,0.040469,483743.49742920557,483.74349742920555,34.058,2.128625,483743.49742920557,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,32,1,ok,,4.137786,20,50,0.04514986,0.0022923201958714233,0.04286,0.0450985,0.0469079,0.0491912,0.05316733,0.053306,708750.8134023007,708.7508134023007,45.0985,1.409328125,708750.8134023007,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,64,1,ok,,4.182045,20,50,0.07239572,0.002299423328054232,0.069861,0.07134,0.0757471,0.07686604999999999,0.0780485,0.078269,884030.1608990146,884.0301608990146,71.34,1.1146875,884030.1608990146,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,128,1,ok,,4.178858,20,50,0.12744404,0.0021407835103998706,0.124516,0.126809,0.1308363,0.13116945,0.13204464000000002,0.132223,1004362.3852476742,1004.3623852476742,126.80900000000001,0.9906953125000001,1004362.3852476742,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,136,1,ok,,4.174786,20,50,0.13556282,0.0026397213390053124,0.132301,0.135226,0.1388738,0.13957955,0.14306428,0.144156,1003224.9255363677,1003.2249255363677,135.226,0.9943088235294117,1003224.9255363677,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260507_030500,2026-05-07T03:05:26.308896,cpu,onnxruntime,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260506_051851_default_6port_separator3_learned_dense_v2/separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,default_6port_separator3_learned_dense_v2,separator3_grid_search_6ports_learned_dense_hd64_depth3_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,256,1,ok,,4.080523,20,50,0.2363976,0.0029789098140091466,0.232848,0.23564649999999998,0.2395622,0.2421589,0.24586919000000002,0.245903,1082921.3156140333,1082.9213156140333,235.64649999999997,0.9204941406249999,1082921.3156140333,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
