benchmark_id,timestamp,device,runtime_backend,run_name,run_dir,experiment_name,model_label,training_label,model_type,seq_len,num_ports,execution_mode,requested_precision_profile,effective_execution_dtype,batch_size,num_threads,status,skip_reason,graph_prep_time_ms,warmup_iters,measure_iters,mean_latency_ms,std_latency_ms,min_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,throughput_samples_per_sec,samples_per_ms,p50_latency_us,latency_per_sample_us,throughput_per_thread,trainable_parameters,macs_per_sample,flops_per_sample_estimate,thread_group,threads_per_physical_core_ratio,threads_per_logical_cpu_ratio,cpu_model_name,cpu_capability,cpu_flag_summary,mkldnn_available,mkldnn_enabled,onednn_version,onnxruntime_version,onnxruntime_providers,openvino_version,openvino_device,logical_cpu_count,physical_cpu_count,hostname,python_version,pytorch_version
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,1,1,ok,,4.877448,20,50,0.01819912,0.001993228914500289,0.016375,0.018647,0.019050400000000002,0.01910725,0.02472944999999998,0.030068,54947.711757491576,54.947711757491575,18.647000000000002,18.647000000000002,54947.711757491576,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,2,1,ok,,4.677914,20,50,0.01756344,0.0006687977619579776,0.01598,0.0175625,0.0179135,0.018032199999999998,0.019766289999999992,0.021373,113872.9087240313,113.87290872403129,17.5625,8.78125,113872.9087240313,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,4,1,ok,,4.721142,20,50,0.02034698,0.0019647513073160175,0.017808,0.0197865,0.0226728,0.02334015,0.028384589999999998,0.02932,196589.371002478,196.589371002478,19.7865,4.946625,196589.371002478,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,8,1,ok,,4.657413,20,50,0.0247326,0.002440907118265666,0.022741,0.024272000000000002,0.025124200000000003,0.027572599999999996,0.035901029999999994,0.03627,323459.7252209634,323.45972522096343,24.272000000000002,3.0340000000000003,323459.7252209634,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,16,1,ok,,4.671585,20,50,0.03338134,0.002772270640539989,0.030754,0.032585,0.0350594,0.03555495,0.043655199999999984,0.04685,479309.6981726917,479.3096981726917,32.585,2.0365625,479309.6981726917,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,32,1,ok,,4.623534,20,50,0.04403692,0.002365721579899038,0.042086,0.042965,0.0463094,0.04901875,0.05257323,0.05354,726662.9909630374,726.6629909630374,42.965,1.34265625,726662.9909630374,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,64,1,ok,,4.952798,20,50,0.07246394,0.003275565956655429,0.070151,0.0708985,0.0753143,0.081085,0.08289658999999999,0.08295,883197.9050545692,883.1979050545692,70.8985,1.1077890625,883197.9050545692,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,128,1,ok,,4.806198,20,50,0.12908502,0.0046719044531753845,0.123543,0.1280685,0.1359385,0.14002859999999998,0.14247757,0.142971,991594.532037877,991.594532037877,128.0685,1.00053515625,991594.532037877,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,256,1,ok,,4.845937,20,50,0.24367848,0.008115441957749435,0.235804,0.239709,0.25274050000000003,0.25714135,0.27237412,0.274046,1050564.662090801,1050.564662090801,239.709,0.93636328125,1050564.662090801,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,512,1,ok,,4.768895,20,50,0.52032324,0.034179832512497774,0.497407,0.514575,0.5439123,0.5467645,0.6531830599999997,0.736633,984003.7127690088,984.0037127690089,514.575,1.005029296875,984003.7127690088,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,1024,1,ok,,4.662921,20,50,1.10815318,0.02443651535443629,1.071183,1.1057645,1.1446062000000001,1.1542096,1.16950632,1.172217,924059.9751741904,924.0599751741904,1105.7645,1.07984814453125,924059.9751741904,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,2048,1,ok,,4.901144,20,50,2.1180237,0.03802547661778876,2.06336,2.1150545,2.1670937,2.18296695,2.20504109,2.209382,966939.1329284935,966.9391329284936,2115.0544999999997,1.0327414550781249,966939.1329284935,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260513_010313,2026-05-13T01:03:38.817588,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260512_072121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,4096,1,ok,,4.931552,20,50,4.33154372,0.029445446029591756,4.2528,4.3344249999999995,4.3634691,4.370766000000001,4.40456073,4.43113,945621.2991889183,945.6212991889183,4334.424999999999,1.0582092285156248,945621.2991889183,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
