benchmark_id,timestamp,device,runtime_backend,run_name,run_dir,experiment_name,model_label,training_label,model_type,seq_len,num_ports,execution_mode,requested_precision_profile,effective_execution_dtype,batch_size,num_threads,status,skip_reason,graph_prep_time_ms,warmup_iters,measure_iters,mean_latency_ms,std_latency_ms,min_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,throughput_samples_per_sec,samples_per_ms,p50_latency_us,latency_per_sample_us,throughput_per_thread,trainable_parameters,macs_per_sample,flops_per_sample_estimate,thread_group,threads_per_physical_core_ratio,threads_per_logical_cpu_ratio,cpu_model_name,cpu_capability,cpu_flag_summary,mkldnn_available,mkldnn_enabled,onednn_version,onnxruntime_version,onnxruntime_providers,openvino_version,openvino_device,logical_cpu_count,physical_cpu_count,hostname,python_version,pytorch_version
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,1,1,ok,,5.422087,20,50,0.01589802,0.002185975402331874,0.014977,0.015445,0.015979900000000002,0.016463449999999998,0.02545409999999998,0.030261,62900.914705101655,62.900914705101655,15.445,15.445,62900.914705101655,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,2,1,ok,,4.994672,20,50,0.0176935,0.001111715183848813,0.016033,0.0174985,0.0178738,0.01820475,0.022713979999999995,0.024232,113035.86062678385,113.03586062678384,17.4985,8.74925,113035.86062678385,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,4,1,ok,,5.017412,20,50,0.02143912,0.004196617974702963,0.018072,0.021998,0.0225145,0.024046949999999994,0.03875130999999997,0.046435,186574.82210090716,186.57482210090717,21.998,5.4995,186574.82210090716,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,8,1,ok,,4.796565,20,50,0.024711979999999998,0.0019600036376496857,0.022208,0.0241695,0.026722299999999997,0.02891259999999999,0.032217989999999995,0.033859,323729.62425511837,323.7296242551184,24.1695,3.0211875,323729.62425511837,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,16,1,ok,,4.801069,20,50,0.03130362,0.0025025415392356627,0.028821,0.0316595,0.0337728,0.0348897,0.04014834,0.041194,511122.9947207384,511.1229947207384,31.6595,1.97871875,511122.9947207384,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,32,1,ok,,4.837415,20,50,0.04603476,0.004659090368559083,0.042578,0.045254,0.049023,0.05177525,0.06329839999999996,0.072677,695126.8997600944,695.1268997600944,45.254000000000005,1.4141875000000002,695126.8997600944,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,64,1,ok,,4.661452,20,50,0.074808,0.003741912110138345,0.070726,0.074494,0.0785337,0.08172805,0.08569099999999999,0.08721,855523.4734253021,855.5234734253021,74.494,1.16396875,855523.4734253021,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,128,1,ok,,4.665482,20,50,0.1324585,0.0050737980694938985,0.126777,0.1316515,0.1382844,0.14391874999999998,0.14854598,0.149819,966340.4009557709,966.3404009557709,131.6515,1.02852734375,966340.4009557709,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,256,1,ok,,4.76016,20,50,0.24078354,0.00641652704571562,0.233652,0.23853600000000003,0.2488107,0.2523848,0.25839596,0.26349,1063195.5988353689,1063.1955988353689,238.53600000000003,0.9317812500000001,1063195.5988353689,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
20260521_022125,2026-05-21T02:21:50.558317,cpu,onnxruntime,separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260518_061121_default_6port_separator3_v2/separator3_default_hidden_dim64_mlp_depth3_num_stages2_channel_separator_6port_standard_sampling_rate122880000,default_6port_separator3_v2,separator3_default_hidden_dim64_mlp_depth3_num_stages2,supervised_nmse_plateau,separator3,12,6,onnxruntime,fp32,float32,512,1,ok,,4.70581,20,50,0.50339212,0.009138211587920253,0.486148,0.5017205,0.5150534,0.5172801,0.5236111999999999,0.526806,1017099.7511840272,1017.0997511840271,501.7205,0.9799228515625,1017099.7511840272,38208,37376,75800,single-thread,0.0078125,0.00390625,Intel(R) Xeon(R) 6760P,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,avx512_bf16,amx_bf16,amx_int8,amx_tile,fma",True,True,,1.23.2,CPUExecutionProvider,,,256,128,sh14l07002s1404,3.11.9,2.1.2+cu121
